Genus;Species;Subspecies;Family;Order;Common_Name;Our_Name;Name_In_Tree;Sampled;DNA_In_Tree;Extinct_Extant;Status_Species;DAISIE_Species_Status;Remove_Species
Hoplobatrachus;tigerinus;NA;Dicroglossidae;Anura;Indus Valley Bullfrog;Hoplobatrachus_tigerinus;Hoplobatrachus_tigerinus;TRUE;TRUE;Extant;Non-endemic;NA;TRUE
Heterixalus;alboguttatus;NA;Hyperoliidae;Anura;None;Heterixalus_alboguttatus;Heterixalus_alboguttatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Heterixalus ;andrakata;NA;Hyperoliidae;Anura;None;Heterixalus_andrakata;Heterixalus_andrakata;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Heterixalus ;betsileo;NA;Hyperoliidae;Anura;None;Heterixalus_betsileo;Heterixalus_betsileo;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Heterixalus ;boettgeri;NA;Hyperoliidae;Anura;None;Heterixalus_boettgeri;Heterixalus_boettgeri;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Heterixalus ;carbonei;NA;Hyperoliidae;Anura;None;Heterixalus_carbonei;Heterixalus_carbonei;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Heterixalus ;luteostriatus;NA;Hyperoliidae;Anura;None;Heterixalus_luteostriatus;Heterixalus_luteostriatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Heterixalus ;madagascariensis;NA;Hyperoliidae;Anura;None;Heterixalus_madagascariensis;Heterixalus_madagascariensis;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Heterixalus ;punctatus;NA;Hyperoliidae;Anura;None;Heterixalus_punctatus;Heterixalus_punctatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Heterixalus ;rutenbergi;NA;Hyperoliidae;Anura;None;Heterixalus_rutenbergi;Heterixalus_rutenbergi;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Heterixalus ;tricolor;NA;Hyperoliidae;Anura;None;Heterixalus_tricolor;Heterixalus_tricolor;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Heterixalus ;variabilis;NA;Hyperoliidae;Anura;None;Heterixalus_variabilis;Heterixalus_variabilis;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;albilabris;NA;Mantellidae;Anura;None;Boophis_albilabris;Boophis_albilabris;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;albipunctatus;NA;Mantellidae;Anura;None;Boophis_albipunctatus;Boophis_albipunctatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;andohahela;NA;Mantellidae;Anura;None;Boophis_andohahela;Boophis_andohahela;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;andrangoloaka;NA;Mantellidae;Anura;None;Boophis_andrangoloaka;Boophis_andrangoloaka;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;andreonei;NA;Mantellidae;Anura;None;Boophis_andreonei;Boophis_andreonei;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;anjanaharibeensis;NA;Mantellidae;Anura;None;Boophis_anjanaharibeensis;Boophis_anjanaharibeensis;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;ankarafensis;NA;Mantellidae;Anura;None;Boophis_ankarafensis;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Boophis ;ankaratra;NA;Mantellidae;Anura;None;Boophis_ankaratra;Boophis_ankaratra;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;arcanus;NA;Mantellidae;Anura;None;Boophis_arcanus;Boophis_arcanus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;asquithi;NA;Mantellidae;Anura;None;Boophis_asquithi;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Boophis ;axelmeyeri;NA;Mantellidae;Anura;None;Boophis_axelmeyeri;Boophis_axelmeyeri;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;baetkei;NA;Mantellidae;Anura;None;Boophis_baetkei;Boophis_baetkei;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;blommersae;NA;Mantellidae;Anura;None;Boophis_blommersae;Boophis_blommersae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;boehmei;NA;Mantellidae;Anura;None;Boophis_boehmei;Boophis_boehmei;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;boppa;NA;Mantellidae;Anura;"Boppa's Bright-eyed treefrog; Malagasy: Fity maso hazo Sahona ny Boppa";Boophis_boppa;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Boophis ;bottae;NA;Mantellidae;Anura;None;Boophis_bottae;Boophis_bottae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;brachychir;NA;Mantellidae;Anura;None;Boophis_brachychir;Boophis_brachychir;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;burgeri;NA;Mantellidae;Anura;None;Boophis_burgeri;Boophis_burgeri;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;calcaratus;NA;Mantellidae;Anura;None;Boophis_calcaratus;Boophis_calcaratus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;doulioti;NA;Mantellidae;Anura;None;Boophis_doulioti;Boophis_doulioti;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;elenae;NA;Mantellidae;Anura;None;Boophis_elenae;Boophis_elenae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;englaenderi;NA;Mantellidae;Anura;None;Boophis_englaenderi;Boophis_englaenderi;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;entingae;NA;Mantellidae;Anura;None;Boophis_entingae;Boophis_entingae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;erythrodactylus;NA;Mantellidae;Anura;None;Boophis_erythrodactylus;Boophis_erythrodactylus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;fayi;NA;Mantellidae;Anura;None;Boophis_fayi;Boophis_fayi;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;feonnyala;NA;Mantellidae;Anura;None;Boophis_feonnyala;Boophis_feonnyala;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;goudotii;NA;Mantellidae;Anura;None;Boophis_goudotii;Boophis_goudotii;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;guibei;NA;Mantellidae;Anura;None;Boophis_guibei;Boophis_guibei;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;haematopus;NA;Mantellidae;Anura;None;Boophis_haematopus;Boophis_haematopus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;haingana;NA;Mantellidae;Anura;None;Boophis_haingana;Boophis_haingana;TRUE;FALSE;Extant;Endemic;Endemic;FALSE
Boophis ;idae;NA;Mantellidae;Anura;None;Boophis_idae;Boophis_idae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis;jaegeri;NA;Mantellidae;Anura;None;Boophis_jaegeri;Boophis_jaegeri;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;laurenti;NA;Mantellidae;Anura;None;Boophis_laurenti;Boophis_laurenti;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;liami;NA;Mantellidae;Anura;None;Boophis_liami;Boophis_liami;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;lichenoides;NA;Mantellidae;Anura;Liken treefrog;Boophis_lichenoides;Boophis_lichenoides;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;lilianae;NA;Mantellidae;Anura;None;Boophis_lilianae;Boophis_lilianae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;luciae;NA;Mantellidae;Anura;None;Boophis_luciae;Boophis_luciae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;luteus;NA;Mantellidae;Anura;None;Boophis_luteus;Boophis_luteus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;madagascariensis;NA;Mantellidae;Anura;None;Boophis_madagascariensis;Boophis_madagascariensis;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;majori;NA;Mantellidae;Anura;None;Boophis_majori;Boophis_majori;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;mandraka;NA;Mantellidae;Anura;None;Boophis_mandraka;Boophis_mandraka;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;marojezensis;NA;Mantellidae;Anura;None;Boophis_marojezensis;Boophis_marojezensis;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;masoala;NA;Mantellidae;Anura;None;Boophis_masoala;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Boophis ;miadana;NA;Mantellidae;Anura;None;Boophis_miadana;Boophis_miadana;TRUE;FALSE;Extant;Endemic;Endemic;FALSE
Boophis ;microtympanum;NA;Mantellidae;Anura;None;Boophis_microtympanum;Boophis_microtympanum;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;miniatus;NA;Mantellidae;Anura;None;Boophis_miniatus;Boophis_miniatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;narinsi;NA;Mantellidae;Anura;None;Boophis_narinsi;Boophis_narinsi;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
