Name,Data,Genes
Allophryne relicta,1,2
Allophryne resplendens,1,2
Allophryne ruthveni,1,12
Alsodes australis,1,1
Alsodes barrioi,1,7
Alsodes coppingeri,1,7
Alsodes gargola,1,9
Alsodes hugoi,1,6
Alsodes igneus,1,7
Alsodes kaweshkari,1,1
Alsodes montanus,0,0
Alsodes monticola,1,2
Alsodes neuquensis,1,5
Alsodes nodosus,1,6
Alsodes norae,1,6
Alsodes pehuenche,1,7
Alsodes tumultuosus,1,7
Alsodes valdiviensis,1,7
Alsodes vanzolinii,1,6
Alsodes verrucosus,1,7
Alsodes vittatus,0,0
Eupsophus altor,1,6
Eupsophus calcaratus,1,12
Eupsophus contulmoensis,1,6
Eupsophus emiliopugini,1,7
Eupsophus insularis,1,6
Eupsophus migueli,1,6
Eupsophus nahuelbutensis,1,7
Eupsophus roseus,1,7
Eupsophus septentrionalis,1,5
Eupsophus vertebralis,1,6
Limnomedusa macroglossa,1,9
Alytes cisternasii,1,3
Alytes dickhilleni,1,9
Alytes maurus,1,4
Alytes muletensis,1,7
Alytes obstetricans,1,14
Discoglossus galganoi,1,10
Discoglossus montalentii,1,9
Discoglossus pictus,1,13
Discoglossus sardus,1,10
Discoglossus scovazzi,1,10
Latonia nigriventer,1,6
Arthroleptis adelphus,1,2
Arthroleptis adolfifriederici,1,3
Arthroleptis affinis,1,2
Arthroleptis anotis,0,0
Arthroleptis aureoli,1,2
Arthroleptis bioko,1,2
Arthroleptis bivittatus,0,0
Arthroleptis brevipes,1,2
Arthroleptis carquejai,0,0
Arthroleptis crusculum,1,1
Arthroleptis discodactylus,0,0
Arthroleptis fichika,1,2
Arthroleptis formosus,1,1
Arthroleptis francei,1,2
Arthroleptis hematogaster,0,0
Arthroleptis kidogo,1,2
Arthroleptis krokosua,1,1
Arthroleptis kutogundua,0,0
Arthroleptis lameerei,0,0
Arthroleptis langeri,1,1
Arthroleptis lonnbergi,0,0
Arthroleptis loveridgei,0,0
Arthroleptis mossoensis,0,0
Arthroleptis nguruensis,0,0
Arthroleptis nikeae,1,2
Arthroleptis nimbaensis,1,1
Arthroleptis nlonakoensis,0,0
Arthroleptis palava,1,2
Arthroleptis perreti,1,2
Arthroleptis phrynoides,0,0
Arthroleptis poecilonotus,1,4
Arthroleptis pyrrhoscelis,0,0
Arthroleptis reichei,1,2
Arthroleptis schubotzi,1,6
Arthroleptis spinalis,0,0
Arthroleptis stenodactylus,1,2
Arthroleptis stridens,0,0
Arthroleptis sylvaticus,1,6
Arthroleptis taeniatus,1,5
Arthroleptis tanneri,1,6
Arthroleptis troglodytes,0,0
Arthroleptis tuberosus,0,0
Arthroleptis variabilis,1,12
Arthroleptis vercammeni,0,0
Arthroleptis wahlbergii,1,2
Arthroleptis xenochirus,0,0
Arthroleptis xenodactyloides,1,6
Arthroleptis xenodactylus,1,2
Arthroleptis zimmeri,0,0
Cardioglossa alsco,0,0
Cardioglossa cyaneospila,0,0
Cardioglossa elegans,1,2
Cardioglossa escalerae,0,0
Cardioglossa gracilis,1,2
Cardioglossa gratiosa,1,5
Cardioglossa leucomystax,1,7
Cardioglossa manengouba,1,2
Cardioglossa melanogaster,1,2
Cardioglossa nigromaculata,0,0
Cardioglossa occidentalis,1,2
Cardioglossa oreas,1,2
Cardioglossa pulchra,1,2
Cardioglossa schioetzi,1,2
Cardioglossa trifasciata,0,0
Cardioglossa venusta,0,0
Astylosternus batesi,1,2
Astylosternus diadematus,1,5
Astylosternus fallax,0,0
Astylosternus laticephalus,1,1
Astylosternus laurenti,0,0
Astylosternus montanus,0,0
Astylosternus nganhanus,0,0
Astylosternus occidentalis,1,1
Astylosternus perreti,0,0
Astylosternus ranoides,0,0
Astylosternus rheophilus,0,0
Astylosternus schioetzi,1,7
Leptodactylodon albiventris,0,0
Leptodactylodon axillaris,1,1
Leptodactylodon bicolor,1,5
Leptodactylodon blanci,0,0
Leptodactylodon boulengeri,0,0
Leptodactylodon bueanus,0,0
Leptodactylodon erythrogaster,0,0
Leptodactylodon mertensi,0,0
Leptodactylodon ornatus,0,0
Leptodactylodon ovatus,0,0
Leptodactylodon perreti,1,1
Leptodactylodon polyacanthus,0,0
Leptodactylodon stevarti,0,0
Leptodactylodon ventrimarmoratus,0,0
Leptodactylodon wildi,0,0
Nyctibates corrugatus,1,5
Scotobleps gabonicus,1,6
Trichobatrachus robustus,1,15
Leptopelis anchietae,0,0
Leptopelis argenteus,1,4
Leptopelis aubryi,0,0
Leptopelis aubryioides,0,0
Leptopelis barbouri,1,3
Leptopelis bequaerti,0,0
Leptopelis bocagii,1,3
Leptopelis boulengeri,0,0
Leptopelis brevipes,0,0
Leptopelis brevirostris,1,1
Leptopelis broadleyi,0,0
Leptopelis bufonides,0,0
Leptopelis calcaratus,1,1
Leptopelis christyi,0,0
Leptopelis concolor,1,1
Leptopelis crystallinoron,0,0
Leptopelis cynnamomeus,0,0
