Genus,Species,Subspecies,Family,Order,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Accipiter,francesiae,francesiae,Accipitridae,Accipitriformes,Frances's Sparrowhawk,Accipiter_francesiae,TRUE,FALSE,Extant,Non-endemic,Endemic,FALSE
Accipiter,henstii,None,Accipitridae,Accipitriformes,Henst's Goshawk,Accipiter_henstii,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Accipiter,madagascariensis,None,Accipitridae,Accipitriformes,Madagascar Sparrowhawk,Accipiter_madagascariensis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Acrocephalus,newtoni,None,Acrocephalidae,Passeriformes,Madagascar Swamp-warbler,Acrocephalus_newtoni,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Actitis,hypoleucos,None,Scolopacidae,Charadriiformes,Common Sandpiper,Actitis_hypoleucos,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Actophilornis,albinucha,None,Jacanidae,Charadriiformes,Madagascar Jacana,Actophilornis_albinucha,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Aepyornis,gracilis,None,Aepyornithidae,Aepyornithiformes,Gracile elephant bird,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Aepyornis,hildebrandti,None,Aepyornithidae,Aepyornithiformes,Hildebrandt's Elephant bird,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Aepyornis,maximus,None,Aepyornithidae,Aepyornithiformes,Giant Elephant bird,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Aepyornis,medius,None,Aepyornithidae,Aepyornithiformes,Greater Elephant bird,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Agapornis,canus,None,Psittacidae,Psittaciformes,Grey-headed Lovebird,Agapornis_canus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Alectroenas,madagascariensis,None,Columbidae,Columbiformes,Madagascar Blue-pigeon,Alectroenas_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Alopochen,sirabensis,None,Anatidae,Anseriformes,Malagasy shelduck ,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Anas,bernieri,None,Anatidae,Anseriformes,Madagascar Teal,Anas_bernieri,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Anas,erythrorhyncha,None,Anatidae,Anseriformes,Red-billed Teal,Anas_erythrorhyncha,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Anas,melleri,None,Anatidae,Anseriformes,Meller's Duck,Anas_melleri,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Anastomus,lamelligerus,madagascariensis,Ciconiidae,Ciconiiformes,African Openbill,Anastomus_lamelligerus,TRUE,FALSE,Extant,Non-endemic,Non-endemic,FALSE
Anhinga,rufa,vulsini,Anhingidae,Suliformes,African Darter,Anhinga_rufa,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Anous,stolidus,None,Laridae,Charadriiformes,Brown Noddy,Anous_stolidus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Anous,tenuirostris,None,Laridae,Charadriiformes,Lesser Noddy,Anous_tenuirostris,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Apus,affinis,None,Apodidae,Caprimulgiformes,Little Swift,Apus_affinis,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Apus,balstoni,balstoni,Apodidae,Caprimulgiformes,Madagascar Swift,Apus_balstoni,TRUE,FALSE,Extant,Non-endemic,Endemic,FALSE
Aquila,sp. A,None,Accipitridae,Falconiformes,Extinct eagle,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Aquila,sp. B,None,Accipitridae,Falconiformes,Extinct eagle,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Ardea,alba,melanorhynchos,Ardeidae,Pelecaniformes,Great White Egret,Casmerodius_albus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Ardea,cinerea,firasa,Ardeidae,Pelecaniformes,Grey Heron,Ardea_cinerea,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Ardea,humbloti,None,Ardeidae,Pelecaniformes,Madagascar Heron,Ardea_humbloti,TRUE,FALSE,Extant,Non-endemic,Endemic,FALSE
Ardea,purpurea,madagascariensis,Ardeidae,Pelecaniformes,Purple Heron,Ardea_purpurea,TRUE,FALSE,Extant,Non-endemic,Non-endemic,FALSE
Ardenna,carneipes,None,Procellariidae,Procellariiformes,Flesh-footed Shearwater,Puffinus_creatopus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Ardenna,pacifica,None,Procellariidae,Procellariiformes,Wedge-tailed Shearwater,Puffinus_pacificus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Ardeola,idae,None,Ardeidae,Pelecaniformes,Madagascar Pond-heron,Ardeola_idae,TRUE,FALSE,Extant,Non-endemic,Non-endemic,TRUE
Ardeola,ralloides,None,Ardeidae,Pelecaniformes,Squacco Heron,Ardeola_ralloides,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Arenaria,interpres,None,Scolopacidae,Charadriiformes,Ruddy Turnstone,Arenaria_interpres,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Artamella,viridis,"viridis, annae",Vangidae,Passeriformes,White-headed Vanga,Artamella_viridis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Asio,capensis,hova,Strigidae,Strigiformes,Marsh Owl,Asio_capensis,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Asio,madagascariensis,None,Strigidae,Strigiformes,Madagascar Long-eared Owl,Asio_madagascariensis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Atelornis,crossleyi,None,Brachypteraciidae,Coraciiformes,Rufous-headed Ground-roller,Atelornis_crossleyi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Atelornis,pittoides,None,Brachypteraciidae,Coraciiformes,Pitta-like Ground-roller,Atelornis_pittoides,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Athene,superciliaris,None,Strigidae,Strigiformes,White-browed Owl,Ninox_superciliaris,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Aviceda,madagascariensis,None,Accipitridae,Accipitriformes,Madagascar Cuckoo-hawk,Aviceda_madagascariensis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Aythya,innotata,None,Anatidae,Anseriformes,Madagascar Pochard,Aythya_innotata,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Bernieria,madagascariensis,None,Bernieridae,Passeriformes,Long-billed Tetraka,Bernieria_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brachypteracias,langrandi,None,Brachypteraciidae,Coraciiformes,Ampoza Ground Roller,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Brachypteracias,leptosomus,None,Brachypteraciidae,Coraciiformes,Short-legged Ground-roller,Brachypteracias_leptosomus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brachypteracias,squamiger,None,Brachypteraciidae,Coraciiformes,Scaly Ground-roller,Brachypteracias_squamiger,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Bradypterus,brunneus,None,Locustellidae,Passeriformes,Brown Emu-tail,Dromaeocercus_brunneus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Bradypterus,seebohmi,None,Locustellidae,Passeriformes,Madagascar Grassbird,Bradypterus_seebohmi,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Bubulcus,ibis,ibis,Ardeidae,Pelecaniformes,Cattle Egret,Bubulcus_ibis,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Buteo,brachypterus,None,Accipitridae,Accipitriformes,Madagascar Buzzard,Buteo_brachypterus,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Butorides,striata,rutenbergi,Ardeidae,Pelecaniformes,Green-backed Heron,Butorides_striata,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Calicalicus,madagascariensis,None,Vangidae,Passeriformes,Red-tailed Vanga,Calicalicus_madagascariensis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Calicalicus,rufocarpalis,None,Vangidae,Passeriformes,Red-shouldered Vanga,Calicalicus_rufocarpalis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Calidris,alba,None,Scolopacidae,Charadriiformes,Sanderling,Calidris_alba,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
