Genus,Species,Subspecies,Family,Order ,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Echinops,telfairi,None,Tenrecidae,Afrosoricida,Lesser hedgehog tenrec,Echinops_telfairi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Geogale,aurita,None,Tenrecidae,Afrosoricida,Large-eared tenrec,Geogale_aurita,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Hemicentetes,nigriceps,None,Tenrecidae,Afrosoricida,Highland streaked tenrec,Hemicentetes_nigriceps,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Hemicentetes,semispinosus,None,Tenrecidae,Afrosoricida,Lowland streaked tenrec,Hemicentetes_semispinosus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Microgale,brevicaudata,None,Tenrecidae,Afrosoricida,Short-tailed shrew-tenrec,Microgale_brevicaudata,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Microgale,cowani,None,Tenrecidae,Afrosoricida,Cowan's shrew tenrec,Microgale_cowani,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Microgale,drouhardi,None,Tenrecidae,Afrosoricida,Drouhard's shrew tenrec,Microgale_drouhardi,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,dryas,None,Tenrecidae,Afrosoricida,Dryad shrew tenrec,Microgale_dryas,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,fotsifotsy,None,Tenrecidae,Afrosoricida,Pale shrew tenrec,Microgale_fotsifotsy,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,gracilis,None,Tenrecidae,Afrosoricida,Gracile shrew tenrec,Microgale_gracilis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,grandidieri,None,Tenrecidae,Afrosoricida,Grandidier's shrew tenrec,Microgale_grandidieri,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Microgale,gymnorhyncha,None,Tenrecidae,Afrosoricida,Naked-nosed shrew tenrec,Microgale_gymnorhyncha,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,jenkinsae,None,Tenrecidae,Afrosoricida,Jenkins' shrew tenrec,Microgale_jenkinsae,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,jobihely,None,Tenrecidae,Afrosoricida,Northern shrew tenrec,Microgale_jobihely,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,longicaudata,None,Tenrecidae,Afrosoricida,Lesser long-tailed shrew-tenrec,Microgale_longicaudata,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Microgale,macpheei,None,Tenrecidae,Afrosoricida,None,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Microgale,majori,None,Tenrecidae,Afrosoricida,Major's long-tailed tenrec ,Microgale_majori,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Microgale,mergulus,None,Tenrecidae,Afrosoricida,Web-footed Aquatic tenrec,Limnogale_mergulus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Microgale,monticola,None,Tenrecidae,Afrosoricida,Montane shrew tenrec,Microgale_monticola,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,nasoloi,None,Tenrecidae,Afrosoricida,Nasolo's shrew-tenrec,Microgale_nasoloi,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,parvula,None,Tenrecidae,Afrosoricida,Pygmy shrew tenrec,Microgale_parvula,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,principula,None,Tenrecidae,Afrosoricida,Greater long-tailed shrew-tenrec,Microgale_principula,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Microgale,pusilla,None,Tenrecidae,Afrosoricida,Lesser shrew-tenrec,Microgale_pusilla,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Microgale,soricoides,None,Tenrecidae,Afrosoricida,Shrew-toothed shrew tenrec,Microgale_soricoides,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,taiva,None,Tenrecidae,Afrosoricida,Taiva shrew tenrec,Microgale_taiva,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Microgale,thomasi,None,Tenrecidae,Afrosoricida,Thomas' shrew tenrec,Microgale_thomasi,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
