Genus,Species,Subspecies,Family,Order ,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Chaerephon,atsinanana,None,Molossidae,Chiroptera,Madagascar eastern free-tailed bat,Chaerephon_atsinanana,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Chaerephon,jobimena,None,Molossidae,Chiroptera,Malagasy western free-tailed bat,Tadarida_jobimena,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Chaerephon,leucogaster,None,Molossidae,Chiroptera,Grandidier's lesser free-tailed bat,NA,FALSE,FALSE,Extant,Non-endemic,Non-endemic,FALSE
Coleura,kibomalandy,None,Emballonuridae,Chiroptera,Madagascar sheath-tailed bat,Coleura_kibomalandy,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eidolon,dupreanum,None,Pteropodidae,Chiroptera,Madagascar straw-coloured fruit bat,Eidolon_dupreanum,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Laephotis,malagasyensis,None,Vespertilionidae,Chiroptera,Isalo Serotine,Neoromicia_malagasyensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Laephotis,matroka,None,Vespertilionidae,Chiroptera,Malagasy serotine,Neoromicia_matroka,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Laephotis,robertsi,None,Vespertilionidae,Chiroptera,Robert's serotine,Neoromicia_robertsi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Macronycteris,besaoka,None,Hipposideridae,Chiroptera,None,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Macronycteris,commersoni,None,Hipposideridae,Chiroptera,Commerson's leaf-nosed bat,Hipposideros_commersoni,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Macronycteris,cryptovalorona,None,Hipposideridae,Chiroptera,Madagascar cryptic leaf-nosed bat,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Miniopterus,aelleni,None,Miniopteridae,Chiroptera,Aellen's long-fingered bat,Miniopterus_aelleni,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Miniopterus,ambohitrensis,None,Miniopteridae,Chiroptera,Montagne d’Ambre long-fingered Bat,Miniopterus_ambohitrensis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Miniopterus,brachytragos,None,Miniopteridae,Chiroptera,Short-tragus long-fingered bat,Miniopterus_brachytragos,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Miniopterus,egeri,None,Miniopteridae,Chiroptera,Eger's long-fingered bat,Miniopterus_egeri,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Miniopterus,gleni,None,Miniopteridae,Chiroptera,Glen's long-fingered bat,Miniopterus_gleni,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Miniopterus,griffithsi,None,Miniopteridae,Chiroptera,Griffith's long-fingered bat,Miniopterus_griffithsi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Miniopterus,griveaudi,None,Miniopteridae,Chiroptera,Griveaud's long-fingered bat,Miniopterus_griveaudi,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Miniopterus,mahafaliensis,None,Miniopteridae,Chiroptera,Mahafaly long-fingered bat,Miniopterus_mahafaliensis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Miniopterus,majori,None,Miniopteridae,Chiroptera,Major's long-fingered bat,Miniopterus_majori,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Miniopterus,manavi,None,Miniopteridae,Chiroptera,Manavi long-fingered bat,Miniopterus_manavi,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Miniopterus,petersoni,None,Miniopteridae,Chiroptera,Peterson's long-fingered bat,Miniopterus_petersoni,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Miniopterus,sororculus,None,Miniopteridae,Chiroptera,Small sister long-fingered bat,Miniopterus_sororculus,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Mops,leucostigma,None,Molossidae,Chiroptera,Malagasy large white-bellied free-tailed bat,Mops_leucostigma,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Mops,midas,miarensis,Molossidae,Chiroptera,Midas' free-tailed bat,Mops_midas,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Mormopterus,jugularis,None,Molossidae,Chiroptera,Peters'  goblin bat,Mormopterus_jugularis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Myotis,goudoti,None,Vespertilionidae,Chiroptera,Malagasy mouse-eared bat,Myotis_goudoti,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Myzopoda,aurita,None,Myzopodidae,Chiroptera,Eastern sucker-footed bat,Myzopoda_aurita,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Myzopoda,schliemanni,None,Myzopodidae,Chiroptera,Schliemann's sucker-footed bat,Myzopoda_schliemanni,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
