Genus;Species;Subspecies;Family;Order ;Common_Name;Name_In_Tree;Sampled;DNA_In_Tree;Extinct_Extant;Status_Species
Echinops;telfairi;NA;Tenrecidae;Afrosoricida;Lesser hedgehog tenrec;Echinops telfairi;TRUE;TRUE;Extant;Endemic
Geogale;aurita;NA;Tenrecidae;Afrosoricida;Large-eared tenrec;Geogale aurita;TRUE;TRUE;Extant;Endemic
Hemicentetes;nigriceps;NA;Tenrecidae;Afrosoricida;Highland streaked tenrec;Hemicentetes nigriceps;TRUE;FALSE;Extant;Endemic
Hemicentetes;semispinosus;NA;Tenrecidae;Afrosoricida;Lowland streaked tenrec;Hemicentetes semispinosus;TRUE;TRUE;Extant;Endemic
Microgale;brevicaudata;NA;Tenrecidae;Afrosoricida;Short-tailed shrew-tenrec;Microgale brevicaudata;TRUE;TRUE;Extant;Endemic
Microgale;cowani;NA;Tenrecidae;Afrosoricida;Cowan's shrew tenrec;Microgale cowani;TRUE;TRUE;Extant;Endemic
Microgale;drouhardi;NA;Tenrecidae;Afrosoricida;Drouhard's shrew tenrec;Microgale drouhardi;TRUE;FALSE;Extant;Endemic
Microgale;dryas;NA;Tenrecidae;Afrosoricida;Dryad shrew tenrec;Microgale dryas;TRUE;FALSE;Extant;Endemic
Microgale;fotsifotsy;NA;Tenrecidae;Afrosoricida;Pale shrew tenrec;Microgale fotsifotsy;TRUE;FALSE;Extant;Endemic
Microgale;gracilis;NA;Tenrecidae;Afrosoricida;Gracile shrew tenrec;Microgale gracilis;TRUE;FALSE;Extant;Endemic
Microgale;grandidieri;NA;Tenrecidae;Afrosoricida;Grandidier's shrew tenrec;Microgale grandidieri;TRUE;TRUE;Extant;Endemic
Microgale;gymnorhyncha;NA;Tenrecidae;Afrosoricida;Naked-nosed shrew tenrec;Microgale gymnorhyncha;TRUE;FALSE;Extant;Endemic
Microgale;jenkinsae;NA;Tenrecidae;Afrosoricida;Jenkins' shrew tenrec;Microgale jenkinsae;TRUE;FALSE;Extant;Endemic
Microgale;jobihely;NA;Tenrecidae;Afrosoricida;Northern shrew tenrec;Microgale jobihely;TRUE;FALSE;Extant;Endemic
Microgale;longicaudata;NA;Tenrecidae;Afrosoricida;Lesser long-tailed shrew-tenrec;Microgale longicaudata;TRUE;TRUE;Extant;Endemic
Microgale;macpheei;NA;Tenrecidae;Afrosoricida;NA;NA;FALSE;FALSE;Extinct;Endemic
Microgale;majori;NA;Tenrecidae;Afrosoricida;Major's long-tailed tenrec ;Microgale majori;TRUE;TRUE;Extant;Endemic
Microgale;mergulus;NA;Tenrecidae;Afrosoricida;Web-footed Aquatic tenrec;Limnogale mergulus;TRUE;TRUE;Extant;Endemic
Microgale;monticola;NA;Tenrecidae;Afrosoricida;Montane shrew tenrec;Microgale monticola;TRUE;FALSE;Extant;Endemic
Microgale;nasoloi;NA;Tenrecidae;Afrosoricida;Nasolo's shrew-tenrec;Microgale nasoloi;TRUE;FALSE;Extant;Endemic
