Genus,Species,Subspecies,Family,Order,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Acrantophis,dumerili,None,Boidae,Squamata,Dumeril's boa,Acrantophis_dumerili,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Acrantophis,madagascariensis,None,Boidae,Squamata,Madagascar ground boa,Acrantophis_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Agama,agama,None,Agamidae,Squamata,Common Agama,Agama_agama,TRUE,TRUE,Extant,Non-endemic,NA,TRUE
Alluaudina,bellyi,None,Pseudoxyrhophiidae,Squamata,None,Alluaudina_bellyi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Alluaudina,mocquardi,None,Pseudoxyrhophiidae,Squamata,None,Alluaudina_mocquardi,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Amphiglossus,astrolabi,None,Scincidae,Squamata,Diving Skink ,Amphiglossus_astrolabi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Amphiglossus,reticulatus,None,Scincidae,Squamata,None,Amphiglossus_reticulatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blaesodactylus,ambonihazo,None,Gekkonidae,Squamata,None,Blaesodactylus_ambonihazo,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blaesodactylus,antongilensis,None,Gekkonidae,Squamata,None,Blaesodactylus_antongilensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blaesodactylus,boivini,None,Gekkonidae,Squamata,None,Blaesodactylus_boivini,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blaesodactylus,microtuberculatus,None,Gekkonidae,Squamata,None,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Blaesodactylus,sakalava,None,Gekkonidae,Squamata,None,Blaesodactylus_sakalava,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blaesodactylus,victori,None,Gekkonidae,Squamata,Victor’s Madagascar Velvet gecko,NA,FASLE,FALSE,Extant,Endemic,Endemic,FALSE
Brachyseps,anosyensis,None,Scincidae,Squamata,None,Amphiglossus_anosyensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brachyseps,frontoparietalis,None,Scincidae,Squamata,Boulenger's Tree Skink ,Amphiglossus_frontoparietalis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brachyseps,gastrostictus,None,Scincidae,Squamata,O'Shaughnessy's Madagascar Skink ,Amphiglossus_gastrostictus,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Brachyseps,macrocercus,None,Scincidae,Squamata,Black-striped Skink ,Amphiglossus_macrocercus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brachyseps,mandady,None,Scincidae,Squamata,None,Amphiglossus_mandady,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Brachyseps,punctatus,None,Scincidae,Squamata,None,Amphiglossus_punctatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brachyseps,spilostichus,None,Scincidae,Squamata,None,Amphiglossus_spilostichus,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Brachyseps,splendidus,None,Scincidae,Squamata,Splendid Skink ,Amphiglossus_splendidus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brookesia,antakarana,None,Chamaeleonidae ,Squamata,None,Brookesia_antakarana,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brookesia,bekolosy,None,Chamaeleonidae ,Squamata,None,Brookesia_bekolosy,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Brookesia,betschi,None,Chamaeleonidae ,Squamata,None,Brookesia_betschi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brookesia,bonsi,None,Chamaeleonidae ,Squamata,None,Brookesia_bonsi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brookesia,brunoi,None,Chamaeleonidae ,Squamata,None,Brookesia_brunoi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Brookesia,brygooi,None,Chamaeleonidae ,Squamata,None,Brookesia_brygooi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
