Name,Genes,Length
Amphisbaena absaberi,0,0
Amphisbaena acrobeles,0,0
Amphisbaena alba,7,5203
Amphisbaena albocingulata,0,0
Amphisbaena amazonica,0,0
Amphisbaena anaemariae,5,3135
Amphisbaena angustifrons,5,3139
Amphisbaena anomala,5,3136
Amphisbaena arda,0,0
Amphisbaena arenaria,0,0
Amphisbaena bahiana,0,0
Amphisbaena bakeri,2,2229
Amphisbaena barbouri,2,2218
Amphisbaena bassleri,0,0
Amphisbaena bedai,0,0
Amphisbaena bilabialatus,0,0
Amphisbaena bolivica,5,3101
Amphisbaena borelli,0,0
Amphisbaena brasiliana,5,3137
Amphisbaena brevis,0,0
Amphisbaena caeca,6,4851
Amphisbaena caiari,5,2843
Amphisbaena camura,5,3352
Amphisbaena carlgansi,2,2194
Amphisbaena carli,0,0
Amphisbaena carvalhoi,0,0
Amphisbaena caudalis,0,0
Amphisbaena cayemite,0,0
Amphisbaena cegei,0,0
Amphisbaena cerradensis,0,0
Amphisbaena crisae,0,0
Amphisbaena cubana,9,6143
Amphisbaena cuiabana,5,3140
Amphisbaena cunhai,5,3139
Amphisbaena darwini,5,3137
Amphisbaena dubia,0,0
Amphisbaena fenestrata,2,2175
Amphisbaena frontalis,0,0
Amphisbaena fuliginosa,9,5888
Amphisbaena gonavensis,0,0
Amphisbaena gracilis,0,0
Amphisbaena hastata,5,3137
Amphisbaena heathi,0,0
Amphisbaena heterozonata,0,0
Amphisbaena hiata,0,0
Amphisbaena hogei,0,0
Amphisbaena hyporissor,2,2224
Amphisbaena ibijara,0,0
Amphisbaena ignatiana,5,3138
Amphisbaena infraorbitale,5,3136
Amphisbaena innocens,2,2235
Amphisbaena kingii,5,3136
Amphisbaena kisteumacheri,0,0
Amphisbaena kraoh,5,3144
Amphisbaena leali,2,2199
Amphisbaena leeseri,5,3133
Amphisbaena leucocephala,0,0
Amphisbaena littoralis,0,0
Amphisbaena lumbricalis,0,0
Amphisbaena manni,2,2227
Amphisbaena maranhensis,0,0
Amphisbaena maximus,0,0
Amphisbaena medemi,0,0
Amphisbaena mensae,0,0
Amphisbaena mertensii,5,3146
Amphisbaena microcephalum,5,3025
Amphisbaena miringoera,0,0
Amphisbaena mitchelli,0,0
Amphisbaena munoai,5,3136
Amphisbaena myersi,0,0
Amphisbaena neglecta,0,0
Amphisbaena nigricauda,0,0
Amphisbaena occidentalis,0,0
Amphisbaena octostegum,0,0
Amphisbaena pericensis,0,0
Amphisbaena persephone,0,0
Amphisbaena plumbea,0,0
Amphisbaena polygrammica,0,0
Amphisbaena polystegum,5,3138
Amphisbaena pretrei,0,0
Amphisbaena prunicolor,0,0
Amphisbaena ridleyi,0,0
Amphisbaena roberti,5,3146
Amphisbaena rozei,0,0
Amphisbaena sanctaeritae,0,0
Amphisbaena saxosa,5,3143
Amphisbaena schmidti,10,9743
Amphisbaena scutigerum,0,0
Amphisbaena silvestrii,5,3135
Amphisbaena slateri,0,0
Amphisbaena slevini,0,0
Amphisbaena spurelli,0,0
Amphisbaena steindachneri,0,0
Amphisbaena stejnegeri,0,0
Amphisbaena supernumeraria,0,0
Amphisbaena talisiae,0,0
Amphisbaena townsendi,0,0
Amphisbaena trachura,0,0
Amphisbaena tragorrhectes,0,0
Amphisbaena uroxena,0,0
Amphisbaena vanzolinii,0,0
Amphisbaena varia,0,0
Amphisbaena vermicularis,5,3145
Amphisbaena wiedi,0,0
Amphisbaena wuchereri,0,0
Amphisbaena xera,6,6443
Ancylocranium barkeri,0,0
Ancylocranium ionidesi,0,0
Ancylocranium somalicum,0,0
Baikia africana,0,0
Chirindia ewerbecki,0,0
Chirindia langi,0,0
Chirindia mpwapwaensis,0,0
Chirindia rondoensis,0,0
Chirindia swynnertoni,4,1841
Cynisca bifrontalis,0,0
Cynisca degrysi,0,0
Cynisca feae,0,0
Cynisca gansi,0,0
Cynisca haugi,0,0
Cynisca kigomensis,0,0
Cynisca kraussi,3,1536
Cynisca leonina,0,0
Cynisca leucura,2,813
Cynisca liberiensis,0,0
Cynisca muelleri,0,0
Cynisca nigeriensis,0,0
Cynisca oligopholis,0,0
Cynisca rouxae,0,0
Cynisca schaeferi,0,0
Cynisca senegalensis,0,0
Cynisca williamsi,0,0
Dalophia angolensis,0,0
Dalophia ellenbergeri,4,2170
Dalophia gigantea,0,0
Dalophia longicauda,0,0
Dalophia luluae,0,0
Dalophia pistillum,4,2113
Geocalamus acutus,14,12459
Geocalamus modestus,0,0
Loveridgea ionidesii,0,0
Loveridgea phylofiniens,0,0
Mesobaena huebneri,0,0
Mesobaena rhachicephala,0,0
Monopeltis adercae,0,0
Monopeltis anchietae,0,0
Monopeltis capensis,4,1842
Monopeltis decosteri,0,0
Monopeltis galeata,0,0
Monopeltis guentheri,0,0
Monopeltis infuscata,0,0
Monopeltis jugularis,0,0
Monopeltis kabindae,0,0
Monopeltis leonhardi,0,0
Monopeltis luandae,0,0
Monopeltis perplexus,0,0
Monopeltis remaclei,0,0
Monopeltis rhodesiana,0,0
Monopeltis scalper,0,0
Monopeltis schoutedeni,0,0
Monopeltis sphenorhynchus,3,1509
Monopeltis vanderysti,0,0
Monopeltis welwitschii,0,0
Monopeltis zambezensis,0,0
Zygaspis dolichomenta,0,0
Zygaspis ferox,0,0
Zygaspis kafuensis,0,0
Zygaspis nigra,4,2170
Zygaspis quadrifrons,4,2170
Zygaspis vandami,4,2170
Zygaspis violacea,0,0
Bipes biporus,15,14233
Bipes canaliculatus,14,12585
Bipes tridactylus,7,8201
Blanus alexandri,2,1197
Blanus aporus,2,1197
Blanus cinereus,10,10143
Blanus mariae,2,1133
Blanus mettetali,2,1095
Blanus strauchi,12,9128
Blanus tingitanus,4,2443
Cadea blanoides,9,6630
Cadea palirostrata,0,0
Rhineura floridana,17,16153
Agamodon anguliceps,2,813
Agamodon arabicus,0,0
Agamodon compressus,0,0
Diplometopon zarudnyi,14,11964
Pachycalamus brevis,0,0
Trogonophis wiegmanni,14,11458
Sphenodon punctatus,17,15488
Acanthocercus adramitanus,0,0
Acanthocercus annectens,7,4720
Acanthocercus atricollis,5,2829
Acanthocercus branchi,0,0
Acanthocercus cyanogaster,5,2734
Acanthocercus guentherpetersi,0,0
Acanthocercus phillipsii,0,0
Acanthocercus yemensis,6,4023
Agama aculeata,6,3334
Agama africana,4,2154
Agama agama,11,7426
Agama anchietae,8,5501
Agama armata,5,2855
Agama atra,8,4368
Agama bocourti,0,0
Agama boensis,4,2203
Agama bottegi,5,2797
Agama boueti,5,2872
Agama boulengeri,5,2779
Agama caudospinosa,4,2177
Agama cristata,1,502
Agama doriae,5,2774
Agama etoshae,3,1510
Agama finchi,4,2129
Agama gracilimembris,4,2168
Agama hartmanni,2,1182
Agama hispida,5,2834
Agama impalearis,9,5042
Agama insularis,5,2855
Agama kaimosae,2,1179
Agama kirkii,4,2200
Agama knobeli,0,0
Agama lanzai,0,0
Agama lebretoni,5,2851
Agama lionotus,7,5079
Agama lucyae,0,0
Agama montana,5,2855
Agama mossambica,1,426
Agama mucosoensis,0,0
Agama mwanzae,2,854
Agama parafricana,5,2824
Agama paragama,1,499
Agama persimilis,0,0
Agama planiceps,6,3265
Agama rueppelli,5,2855
Agama sankaranica,4,2204
Agama somalica,0,0
Agama spinosa,5,2844
Agama sylvana,0,0
Agama tassiliensis,3,1516
Agama turuensis,1,501
Agama weidholzi,5,2866
Agama robecchii,3,1596
Brachysaura minor,0,0
Bufoniceps laungwalaensis,2,1086
Laudakia agrorensis,0,0
Laudakia dayana,0,0
Laudakia melanura,0,0
Laudakia nupta,4,2287
Laudakia nuristanica,0,0
Laudakia pakistanica,0,0
Laudakia papenfussi,0,0
Laudakia sacra,2,1086
Laudakia tuberculata,2,1086
Laudakia wui,0,0
Paralaudakia badakhshana,0,0
Paralaudakia bochariensis,0,0
Paralaudakia caucasia,9,5178
Paralaudakia erythrogaster,2,1086
Paralaudakia himalayana,3,1644
Paralaudakia lehmanni,6,3924
Paralaudakia microlepis,4,2394
Paralaudakia stoliczkana,6,3371
Phrynocephalus ahvazicus,0,0
Phrynocephalus ananjevae,0,0
Phrynocephalus arabicus,3,2358
Phrynocephalus axillaris,9,7988
Phrynocephalus clarkorum,0,0
Phrynocephalus erythrurus,9,6203
Phrynocephalus euptilopus,0,0
Phrynocephalus forsythii,9,5768
Phrynocephalus golubewii,0,0
Phrynocephalus guttatus,7,4755
Phrynocephalus helioscopus,8,5069
Phrynocephalus interscapularis,5,2715
Phrynocephalus luteoguttatus,0,0
Phrynocephalus maculatus,4,2553
Phrynocephalus mystaceus,14,11428
Phrynocephalus ornatus,4,2643
Phrynocephalus persicus,4,2655
Phrynocephalus przewalskii,9,8353
Phrynocephalus putjatai,9,6907
Phrynocephalus raddei,6,5556
